VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	35574453
Shares Outstanding: 346527000
Expense Ratio: 0.06%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Michael Kors Holdings Ltd,KORS,0.073%
Western Union Co,WU,0.0726%
Pinnacle West Capital Corp,PNW,0.0712%
Marvell Technology Group Ltd,MRVL,0.071%
Interpublic Group of Companies Inc,IPG,0.071%
Ventas Inc,VTR,0.0708%
Gap Inc,GPS,0.0704%
Mosaic Co,MOS,0.0695%
Macy's Inc,M,0.0693%
Clorox Co,CLX,0.0693%
Campbell Soup Co,CPB,0.069%
Alleghany Corp,Y,0.0688%
Lamb Weston Holdings Inc,LW,0.0667%
CBS Corp,CBS,0.0667%
Jacobs Engineering Group Inc,JEC,0.0663%
Advance Auto Parts Inc,AAP,0.0662%
Macerich Co,MAC,0.0661%
Comerica Inc,CMA,0.0657%
DISH Network Corp,DISH,0.0656%
Hilton Worldwide Holdings Inc,HLT,0.0653%
News Corp,NWSA,0.065%
Lennar Corp,LEN,0.0647%
NiSource Inc,NI,0.0642%
D.R. Horton Inc,DHI,0.0638%
Fluor Corp,FLR,0.0633%
United Rentals Inc,URI,0.0624%
ManpowerGroup Inc,MAN,0.0622%
Tapestry Inc,TPR,0.0618%
PulteGroup Inc,PHM,0.0616%
First Data Corp,FDC,0.061%
Athene Holding Ltd,ATH,0.061%
AGNC Investment Corp,AGNC,0.061%
AES Corp,AES,0.0589%
Xerox Corp,XRX,0.0585%
Harley-Davidson Inc,HOG,0.0577%
Liberty Media Corp,LSXMK,0.0567%
HanesBrands Inc,HBI,0.055%
Leucadia National Corp,LUK,0.0548%
Lazard Ltd,LAZ,0.0546%
Crown Holdings Inc,CCK,0.0538%
VEREIT Inc,VER,0.0538%
Arrow Electronics Inc,ARW,0.0535%
W. R. Berkley Corp,WRB,0.0531%
OGE Energy Corp,OGE,0.0525%
CIT Group Inc,CIT,0.0523%
People's United Financial Inc,PBCT,0.0523%
Newell Brands Inc,NWL,0.0515%
Ralph Lauren Corp,RL,0.0511%
Garmin Ltd,GRMN,0.0505%
New York Community Bancorp Inc,NYCB,0.0502%
Raymond James Financial Inc,RJF,0.0486%
Dentsply Sirona Inc,XRAY,0.0484%
Kimco Realty Corp,KIM,0.0468%
Discovery Inc,DISCK,0.0464%
Reliance Steel & Aluminum Co,RS,0.046%
Tiffany & Co,TIF,0.0458%
Carmax Inc,KMX,0.0449%
SCANA Corp,SCG,0.0445%
Nordstrom Inc,JWN,0.0443%
Universal Health Services Inc,UHS,0.0434%
Allison Transmission Holdings Inc,ALSN,0.0417%
Advanced Micro Devices Inc,AMD,0.0406%
Brighthouse Financial Inc,BHF,0.0404%
Ingredion Inc,INGR,0.0404%
Owens Corning,OC,0.0371%
Hormel Foods Corp,HRL,0.0363%
HollyFrontier Corp,HFC,0.0362%
Westlake Chemical Corp,WLK,0.0359%
CF Industries Holdings Inc,CF,0.0353%
Alcoa Corp,AA,0.0338%
Jones Lang LaSalle Inc,JLL,0.0334%
Camden Property Trust,CPT,0.0323%
Alaska Air Group Inc,ALK,0.032%
Liberty Media Corp,LSXMA,0.0292%
Helmerich and Payne Inc,HP,0.0291%
Sealed Air Corp,SEE,0.0278%
Discovery Inc,DISCA,0.0268%
Goodyear Tire & Rubber Co,GT,0.0265%
Avangrid Inc,AGR,0.0255%
Sprint Corp,S,0.0245%
Flowserve Corp,FLS,0.0235%
Stericycle Inc,SRCL,0.021%
Mattel Inc,MAT,0.019%
Brixmor Property Group Inc,BRX,0.0187%
Liberty Broadband Corp,LBRDA,0.0166%
Cash Component,CASH,0.0156%
Altice USA Inc,ATUS,0.0096%
Pilgrims Pride Corp,PPC,0.0094%
ADT Inc,ADT,0.0074%
CBS Corp,CBS.A,0.002%
