VFH: Vanguard Financials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	7945728
Shares Outstanding: 114064000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Financials 25/50 Index
ETFdb.com Category: Financials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VFH


Holding,Symbol,Weighting
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,0.0256%
Kearny Financial Corp,KRNY,0.0254%
Meta Financial Group Inc,CASH,0.0253%
Meridian Bancorp Inc,EBSB,0.0252%
United Fire Group Inc,UFCS,0.025%
First Bancorp,FBNC,0.0249%
OceanFirst Financial Corp,OCFC,0.0249%
Amerisafe Inc,AMSF,0.0249%
Seacoast Banking Corporation of Florida,SBCF,0.0246%
Hanmi Financial Corp,HAFC,0.0246%
BancFirst Corp,BANF,0.0245%
Kinsale Capital Group Inc,KNSL,0.0243%
MainSource Financial Group Inc,MSFG,0.024%
ARMOUR Residential REIT Inc,ARR,0.0239%
Southside Bancshares Inc,SBSI,0.0239%
1st Source Corp,SRCE,0.0234%
PJT Partners Inc,PJT,0.0226%
National Bank Holdings Corp,NBHC,0.0226%
Customers Bancorp Inc,CUBI,0.0223%
James River Group Holdings Ltd,JRVR,0.0222%
Preferred Bank,PFBC,0.0222%
Washington Trust Bancorp Inc,WASH,0.022%
NMI Holdings Inc,NMIH,0.022%
ConnectOne Bancorp Inc,CNOB,0.022%
Lakeland Bancorp Inc,LBAI,0.0219%
Virtus Investment Partners Inc,VRTS,0.0217%
Capstead Mortgage Corp,CMO,0.0212%
Cohen & Steers Inc,CNS,0.0212%
Central Pacific Financial Corp,CPF,0.0211%
MTGE Investment Corp,MTGE,0.0209%
FBL Financial Group Inc,FFG,0.0209%
Flagstar Bancorp Inc,FBC,0.0208%
TrustCo Bank Corp N Y,TRST,0.0207%
United Financial Bancorp Inc,UBNK,0.0207%
TFS Financial Corp,TFSL,0.0206%
Univest Corporation of Pennsylvania,UVSP,0.0206%
MBIA Inc,MBI,0.0205%
Stewart Information Services Corp,STC,0.0204%
Carolina Financial Corp,CARO,0.0204%
Bryn Mawr Bank Corp,BMTC,0.0203%
Banc of California Inc,BANC,0.0199%
Federal Agricultural Mortgage Corp,AGM,0.0199%
Trico Bancshares,TCBK,0.0195%
Granite Point Mortgage Trust Inc,GPMT,0.0193%
Flushing Financial Corp,FFIC,0.0188%
Live Oak Bancshares Inc,LOB,0.0184%
Community Trust Bancorp Inc,CTBI,0.0183%
HomeStreet Inc,HMST,0.0182%
Guaranty Bancorp,GBNK,0.0181%
Stock Yards Bancorp Inc,SYBT,0.0181%
CoBiz Financial Inc,COBZ,0.0181%
World Acceptance Corp,WRLD,0.018%
Opus Bank,OPB,0.0179%
National Western Life Group Inc,NWLI,0.0178%
Camden National Corp,CAC,0.0178%
German American Bancorp Inc,GABC,0.0175%
INTL FCStone Inc,INTL,0.0175%
Northfield Bancorp Inc,NFBK,0.0173%
Horizon Bancorp,HBNC,0.0173%
EZCORP Inc,EZPW,0.0169%
New York Mortgage Trust Inc,NYMT,0.0168%
Ambac Financial Group Inc,AMBC,0.0168%
First of Long Island Corp,FLIC,0.016%
Investment Technology Group Inc,ITG,0.016%
QCR Holdings Inc,QCRH,0.0157%
Enova International Inc,ENVA,0.0154%
Heritage Commerce Corp,HTBK,0.0153%
Oritani Financial Corp,ORIT,0.0151%
Donnelley Financial Solutions Inc,DFIN,0.015%
Dime Community Bancshares Inc,DCOM,0.0147%
Great Southern Bancorp Inc,GSBC,0.0147%
Peoples Bancorp Inc,PEBO,0.0142%
First Foundation Inc,FFWM,0.0139%
Mercantile Bank Corp,MBWM,0.0138%
Nationstar Mortgage Holdings Inc,NSM,0.0138%
Trupanion Inc,TRUP,0.0137%
Bridge Bancorp Inc,BDGE,0.0136%
TriState Capital Holdings Inc,TSC,0.0134%
Fidelity Southern Corp,LION,0.0133%
First Defiance Financial Corp,FDEF,0.0132%
Nicolet Bankshares Inc,NCBS,0.0128%
Green Bancorp Inc,GNBC,0.0128%
United Insurance Holdings Corp,UIHC,0.0126%
Hometrust Bancshares Inc,HTBI,0.0123%
AG Mortgage Investment Trust Inc,MITT,0.0122%
Anworth Mortgage Asset Corp,ANH,0.0121%
OFG Bancorp,OFG,0.0121%
PennyMac Financial Services Inc,PFSI,0.012%
Independent Bank Corp,IBCP,0.012%
Blue Hills Bancorp Inc,BHBK,0.0119%
Diamond Hill Investment Group Inc,DHIL,0.0118%
Greenlight Capital Re Ltd,GLRE,0.0118%
State Auto Financial Corp,STFC,0.0118%
Atlantic Capital Bancshares Inc,ACBI,0.0116%
Maiden Holdings Ltd,MHLD,0.0116%
Midland States Bancorp Inc,MSBI,0.0112%
Veritex Holdings Inc,VBTX,0.0112%
Waterstone Financial Inc,WSBF,0.011%
Arbor Realty Trust Inc,ABR,0.0109%
Ocwen Financial Corp,OCN,0.0106%
Greenhill & Co Inc,GHL,0.0105%
Financial Institutions Inc,FISI,0.0105%
First Community Bancshares Inc,FCBC,0.0104%
West Bancorporation Inc,WTBA,0.0104%
Western Asset Mortgage Capital Corp,WMC,0.0103%
First Financial Corp,THFF,0.0099%
Arrow Financial Corp,AROW,0.0098%
Access National Corp,ANCX,0.0097%
Westwood Holdings Group Inc,WHG,0.0097%
Midwestone Financial Group Inc,MOFG,0.0095%
Byline Bancorp Inc,BY,0.0092%
Ladenburg Thalmann Financial Services Inc,LTS,0.0091%
Cowen Inc,COWN,0.009%
Republic Bancorp Inc,RBCAA,0.009%
Ares Commercial Real Estate Corp,ACRE,0.0088%
PHH Corp,PHH,0.0087%
Orchid Island Capital Inc,ORC,0.0086%
Heritage Insurance Holdings Inc,HRTG,0.0084%
Citizens Inc,CIA,0.0083%
Dynex Capital Inc,DX,0.0083%
Clifton Bancorp Inc,CSBK,0.0082%
Arlington Asset Investment Corp,AI,0.0082%
B. Riley Financial Inc,RILY,0.0081%
Global Indemnity Ltd,GBLI,0.0081%
WMIH Corp,WMIH,0.0075%
Southern National Bancorp of Virginia Inc,SONA,0.0073%
Resource Capital Corp,RSO,0.0071%
FB Financial Corp,FBK,0.0071%
Sutherland Asset Management Corp,SLD,0.0068%
Hci Group Inc,HCI,0.0068%
EMC Insurance Group Inc,EMCI,0.0063%
HarborOne Bancorp Inc,HONE,0.0062%
On Deck Capital Inc,ONDK,0.0056%
Baldwin & Lyons Inc,BWINB,0.0055%
Donegal Group Inc,DGICA,0.0044%
Pzena Investment Management Inc,PZN,0.0044%
Associated Capital Group Inc,AC,0.0043%
GAMCO Investors Inc,GBL,0.003%
Crawford & Co,CRD.B,0.0025%
