VO: Vanguard Mid-Cap Index ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	22275012
Shares Outstanding: 144371000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VO


Holding,Symbol,Weighting
Macy's Inc,M,0.2136%
Campbell Soup Co,CPB,0.2134%
Alleghany Corp,Y,0.2132%
Snap-On Inc,SNA,0.2126%
Nektar Therapeutics,NKTR,0.2123%
Federal Realty Investment Trust,FRT,0.2111%
Coty Inc,COTY,0.2096%
Macerich Co,MAC,0.2089%
IPG Photonics Corp,IPGP,0.2079%
Lululemon Athletica Inc,LULU,0.2059%
FactSet Research Systems Inc,FDS,0.2047%
Lamb Weston Holdings Inc,LW,0.2043%
Jacobs Engineering Group Inc,JEC,0.2027%
Advance Auto Parts Inc,AAP,0.2021%
News Corp,NWSA,0.2019%
NiSource Inc,NI,0.2005%
Fluor Corp,FLR,0.1986%
Alaska Air Group Inc,ALK,0.1962%
Jones Lang LaSalle Inc,JLL,0.1951%
Camden Property Trust,CPT,0.195%
Tractor Supply Co,TSCO,0.193%
Athene Holding Ltd,ATH,0.1923%
ManpowerGroup Inc,MAN,0.1917%
PulteGroup Inc,PHM,0.1908%
First Data Corp,FDC,0.1891%
AGNC Investment Corp,AGNC,0.1888%
Zayo Group Holdings Inc,ZAYO,0.1837%
AES Corp,AES,0.1827%
Apache Corp,APA,0.1819%
Harley-Davidson Inc,HOG,0.1796%
Xerox Corp,XRX,0.1796%
WABCO Holdings Inc,WBC,0.1795%
AmerisourceBergen Corp,ABC,0.1777%
Sealed Air Corp,SEE,0.1771%
Loews Corp,L,0.1764%
Liberty Media Corp,LSXMK,0.1763%
Polaris Industries Inc,PII,0.1729%
Westinghouse Air Brake Technologies Corp,WAB,0.172%
HanesBrands Inc,HBI,0.1714%
Leucadia National Corp,LUK,0.1709%
Axalta Coating Systems Ltd,AXTA,0.1707%
Lazard Ltd,LAZ,0.1704%
Arrow Electronics Inc,ARW,0.1697%
Robert Half International Inc,RHI,0.1695%
Hubbell Inc,HUBB,0.1689%
VEREIT Inc,VER,0.1674%
Crown Holdings Inc,CCK,0.1672%
W. R. Berkley Corp,WRB,0.1652%
CIT Group Inc,CIT,0.163%
People's United Financial Inc,PBCT,0.163%
Diamondback Energy Inc,FANG,0.1623%
OGE Energy Corp,OGE,0.162%
Invitation Homes Inc,INVH,0.1609%
Broadridge Financial Solutions Inc,BR,0.1577%
Abiomed Inc,ABMD,0.1576%
Black Knight Inc,BKI,0.1564%
New York Community Bancorp Inc,NYCB,0.1558%
LogMeIn Inc,LOGM,0.1557%
XPO Logistics Inc,XPO,0.1551%
IAC/InterActiveCorp,IAC,0.1549%
Garmin Ltd,GRMN,0.154%
Teleflex Inc,TFX,0.1537%
Ralph Lauren Corp,RL,0.1528%
Reliance Steel & Aluminum Co,RS,0.1462%
Kimco Realty Corp,KIM,0.1462%
Discovery Inc,DISCK,0.1452%
Acuity Brands Inc,AYI,0.1435%
Continental Resources Inc,CLR,0.141%
Nordstrom Inc,JWN,0.1397%
SCANA Corp,SCG,0.1369%
Packaging Corp of America,PKG,0.1327%
Targa Resources Corp,TRGP,0.1307%
Allison Transmission Holdings Inc,ALSN,0.1287%
Brighthouse Financial Inc,BHF,0.1261%
Domino's Pizza Inc,DPZ,0.1258%
Antero Resources Corp,AR,0.1186%
Ingredion Inc,INGR,0.1172%
Westlake Chemical Corp,WLK,0.1131%
Cognex Corp,CGNX,0.1115%
HollyFrontier Corp,HFC,0.1099%
Alcoa Corp,AA,0.1063%
Liberty Media Corp,LSXMA,0.0916%
FLIR Systems Inc,FLIR,0.0884%
Helmerich and Payne Inc,HP,0.0878%
Hyatt Hotels Corp,H,0.0848%
Discovery Inc,DISCA,0.0847%
Goodyear Tire & Rubber Co,GT,0.0823%
Avangrid Inc,AGR,0.0781%
Under Armour Inc,UAA,0.0755%
Flowserve Corp,FLS,0.0712%
Seattle Genetics Inc,SGEN,0.0673%
Under Armour Inc,UA,0.0667%
Stericycle Inc,SRCL,0.0649%
Altice USA Inc,ATUS,0.0594%
Mattel Inc,MAT,0.0587%
Brixmor Property Group Inc,BRX,0.0578%
TripAdvisor Inc,TRIP,0.055%
Liberty Broadband Corp,LBRDA,0.0529%
Macquarie Infrastructure Corp,MIC,0.0381%
Pilgrims Pride Corp,PPC,0.0307%
ADT Inc,ADT,0.0235%
Viacom Inc,VIA,0.0101%
Cash Component,CASH,0.007%
