DSI: iShares MSCI KLD 400 Social ETF
Inception Date: 2006-11-14
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	992400
Shares Outstanding: 10150000
Expense Ratio: 0.5%
Tracks This Index: MSCI KLD 400 Social Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/DSI


Holding,Symbol,Weighting
H&E Equipment Services Inc,HEES,0.0113%
ICF International Inc,ICFI,0.0112%
Steelcase Inc,SCS,0.0111%
Tennant Co,TNC,0.0111%
Avon Products Inc,AVP,0.0108%
Denbury Resources Inc,DNR,0.0103%
TrueBlue Inc,TBI,0.0101%
Scholastic Corp,SCHL,0.0099%
Office Depot Inc,ODP,0.0097%
Hertz Global Holdings Inc,AZK,0.009%
Knoll Inc,KNL,0.0085%
Schnitzer Steel Industries Inc,SCHN,0.0083%
Navigant Consulting Inc,NCI,0.0081%
Kelly Services Inc,KELYA,0.0078%
Nutrisystem Inc,NTRI,0.0075%
ArcBest Corp,ARCB,0.0069%
Echo Global Logistics Inc,ECHO,0.0064%
Buckle Inc,BKE,0.006%
Super Micro Computer Inc,SMCI,0.0058%
Ethan Allen Interiors Inc,ETH,0.0056%
Heidrick & Struggles International Inc,HSII,0.0053%
RR Donnelley & Sons Co,RRD,0.0052%
Wesco Aircraft Holdings Inc,WAIR,0.0046%
Cincinnati Bell Inc,CBB,0.0045%
RPX Corp,RPXC,0.0044%
Resources Connection Inc,RECN,0.0043%
Team Inc,TISI,0.0037%
Essendant Inc,ESND,0.0029%
Clean Energy Fuels Corp,CLNE,0.0018%
Pier 1 Imports Inc,PIR,0.0017%
