VIS: Vanguard Industrial ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	3543397
Shares Outstanding: 25580000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Industrials 25/50 Index
ETFdb.com Category: Industrials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VIS


Holding,Symbol,Weighting
Franklin Electric Co Inc,FELE,0.0534%
Aaon Inc,AAON,0.0534%
Forward Air Corp,FWRD,0.0533%
MRC Global Inc,MRC,0.053%
Sun Hydraulics Corp,SNHY,0.0519%
HNI Corp,HNI,0.0519%
ESCO Technologies Inc,ESE,0.0507%
Interface Inc,TILE,0.0506%
Patrick Industries Inc,PATK,0.0505%
General Cable Corp,BGC,0.0503%
Comfort Systems USA Inc,FIX,0.0502%
Atlas Air Worldwide Holdings Inc,AAWW,0.0501%
Kaman Corp,KAMN,0.0496%
Mueller Industries Inc,MLI,0.0482%
Navistar International Corp,NAV,0.0482%
Hub Group Inc,HUBG,0.0481%
Greenbrier Companies Inc,GBX,0.0479%
Milacron Holdings Corp,MCRN,0.0476%
Herc Holdings Inc,HRI,0.0475%
American Woodmark Corp,AMWD,0.0474%
AAR Corp,AIR,0.0467%
Advanced Disposal Services Inc,ADSW,0.0463%
Actuant Corp,ATU,0.046%
SPX Corp,SPXC,0.0459%
Altra Industrial Motion Corp,AIMC,0.0458%
Air Transport Services Group Inc,ATSG,0.045%
Federal Signal Corp,FSS,0.0447%
ACCO Brands Corp,ACCO,0.044%
Rush Enterprises Inc,RUSHA,0.043%
Triumph Group Inc,TGI,0.0428%
Raven Industries Inc,RAVN,0.0424%
Standex International Corp,SXI,0.0424%
H&E Equipment Services Inc,HEES,0.0419%
McGrath RentCorp,MGRC,0.0419%
Matson Inc,MATX,0.0415%
Apogee Enterprises Inc,APOG,0.0412%
Tennant Co,TNC,0.0409%
Wabash National Corp,WNC,0.0406%
Steelcase Inc,SCS,0.0399%
BMC Stock Holdings Inc,BMCH,0.0394%
Encore Wire Corp,WIRE,0.0386%
Alamo Group Inc,ALG,0.0386%
US Ecology Inc,ECOL,0.0385%
ICF International Inc,ICFI,0.0385%
TriMas Corp,TRS,0.0384%
NOW Inc,DNOW,0.0375%
Aircastle Ltd,AYR,0.0371%
AZZ Inc,AZZ,0.0369%
Viad Corp,VVI,0.0368%
Astec Industries Inc,ASTE,0.0366%
Kadant Inc,KAI,0.0362%
TrueBlue Inc,TBI,0.036%
Primoris Services Corp,PRIM,0.0347%
Continental Building Products Inc,CBPX,0.0346%
Gibraltar Industries Inc,ROCK,0.0342%
Hertz Global Holdings Inc,AZK,0.034%
GMS Inc,GMS,0.0339%
Advanced Drainage Systems Inc,WMS,0.0339%
Knoll Inc,KNL,0.0331%
AeroVironment Inc,AVAV,0.033%
Douglas Dynamics Inc,PLOW,0.0328%
Marten Transport Ltd,MRTN,0.0324%
CBIZ Inc,CBZ,0.0323%
Manitowoc Company Inc,MTW,0.0321%
Multi-Color Corp,LABL,0.0318%
Casella Waste Systems Inc,CWST,0.0315%
Kelly Services Inc,KELYA,0.0311%
PGT Innovations Inc,PGTI,0.031%
Lindsay Corp,LNN,0.0308%
Briggs & Stratton Corp,BGG,0.0307%
Navigant Consulting Inc,NCI,0.0306%
