VB: Vanguard Small Cap ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	21802537
Shares Outstanding: 148115000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Small Cap Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VB


Holding,Symbol,Weighting
Ashland Global Holdings Inc,ASH,0.1223%
Primerica Inc,PRI,0.1221%
Associated Banc-Corp,ASB,0.1221%
Popular Inc,BPOP,0.1217%
BankUnited Inc,BKU,0.1216%
Madison Square Garden Co,MSG,0.1205%
Maximus Inc,MMS,0.1203%
Alcoa Corp,AA,0.1201%
Delphi Technologies PLC,DLPH,0.1199%
IBERIABANK Corp,IBKC,0.1194%
Air Lease Corp,AL,0.1188%
W. R. Grace & Co,GRA,0.1187%
RingCentral Inc,RNG,0.1187%
Integrated Device Technology Inc,IDTI,0.1186%
Patterson-UTI Energy Inc,PTEN,0.1184%
Versum Materials Inc,VSM,0.1181%
Molina Healthcare Inc,MOH,0.1178%
Louisiana-Pacific Corp,LPX,0.1177%
Cree Inc,CREE,0.1174%
MSC Industrial Direct Co Inc,MSM,0.1165%
Cinemark Holdings Inc,CNK,0.1164%
Caseys General Stores Inc,CASY,0.1159%
Lumentum Holdings Inc,LITE,0.1156%
EPR Properties,EPR,0.1156%
Kirby Corp,KEX,0.1152%
Agios Pharmaceuticals Inc,AGIO,0.1152%
Masimo Corp,MASI,0.1145%
Radian Group Inc,RDN,0.1143%
On Assignment Inc,ASGN,0.1142%
Woodward Inc,WWD,0.1136%
Assured Guaranty Ltd,AGO,0.1132%
ViaSat Inc,VSAT,0.113%
Hilton Grand Vacations Inc,HGV,0.1128%
Cantel Medical Corp,CMD,0.1127%
Haemonetics Corp,HAE,0.1125%
Bemis Company Inc,BMS,0.1119%
Valley National Bancorp,VLY,0.1118%
HubSpot Inc,HUBS,0.1113%
Five Below Inc,FIVE,0.1109%
Conduent Inc,CNDT,0.1109%
Ryder System Inc,R,0.1105%
Silicon Laboratories Inc,SLAB,0.1102%
ICU Medical Inc,ICUI,0.1096%
Williams-Sonoma Inc,WSM,0.1096%
Chemical Financial Corp,CHFC,0.1093%
NewMarket Corp,NEU,0.1093%
Life Storage Inc,LSI,0.109%
Hospitality Properties Trust,HPT,0.1087%
Dolby Laboratories Inc,DLB,0.1082%
Flowers Foods Inc,FLO,0.1081%
Blueprint Medicines Corp,BPMC,0.1074%
NCR Corp,NCR,0.1073%
Apple Hospitality REIT Inc,APLE,0.1069%
Stifel Financial Corp,SF,0.1069%
Wayfair Inc,W,0.1067%
Extended Stay America Inc,STAY,0.1067%
Ciena Corp,CIEN,0.1066%
Penumbra Inc,PEN,0.1064%
Cracker Barrel Old Country Store Inc,CBRL,0.1063%
Dana Inc,DAN,0.1057%
CACI International Inc,CACI,0.1057%
Essent Group Ltd,ESNT,0.1057%
Range Resources Corp,RRC,0.1055%
NU Skin Enterprises Inc,NUS,0.1055%
Hawaiian Electric Industries Inc,HE,0.1052%
Corelogic Inc,CLGX,0.1051%
Senior Housing Properties Trust,SNH,0.105%
ALLETE Inc,ALE,0.1049%
Realogy Holdings Corp,RLGY,0.1042%
Texas Roadhouse Inc,TXRH,0.1034%
John Bean Technologies Corp,JBT,0.1033%
CNO Financial Group Inc,CNO,0.1029%
j2 Global Inc,JCOM,0.1027%
Medidata Solutions Inc,MDSO,0.1024%
Beacon Roofing Supply Inc,BECN,0.1024%
FirstCash Inc,FCFS,0.1016%
Home BancShares Inc,HOMB,0.1015%
Blue Buffalo Pet Products Inc,BUFF,0.1015%
Equity Commonwealth,EQC,0.1015%
Cousins Properties Inc,CUZ,0.1013%
KLX Inc,KLXI,0.1012%
Cimpress NV,CMPR,0.1012%
FibroGen Inc,FGEN,0.1009%
SYNNEX Corp,SNX,0.1008%
Bank of Hawaii Corp,BOH,0.1007%
Portland General Electric Co,POR,0.1007%
Owens-Illinois Inc,OI,0.1005%
AveXis Inc,AVXS,0.1004%
United Bankshares Inc,UBSI,0.1003%
PBF Energy Inc,PBF,0.1001%
Selective Insurance Group Inc,SIGI,0.1%
Spirit Realty Capital Inc,SRC,0.0999%
Snyder's-Lance Inc,LNCE,0.0997%
Investors Bancorp Inc,ISBC,0.0997%
Array Biopharma Inc,ARRY,0.0996%
FLIR Systems Inc,FLIR,0.0995%
Gramercy Property Trust,GPT,0.0995%
Helmerich and Payne Inc,HP,0.0994%
First Industrial Realty Trust Inc,FR,0.0992%
Integra LifeSciences Holdings Corp,IART,0.099%
CoreSite Realty Corp,COR,0.0985%
TCF Financial Corp,TCF,0.0984%
Avista Corp,AVA,0.0984%
Scotts Miracle-Gro Co,SMG,0.0982%
Globus Medical Inc,GMED,0.0978%
PolyOne Corp,POL,0.0977%
Deluxe Corp,DLX,0.0977%
JBG SMITH Properties,JBGS,0.0976%
PDC Energy Inc,PDCE,0.0974%
ILG Inc,ILG,0.0973%
New Jersey Resources Corp,NJR,0.0972%
Summit Materials Inc,SUM,0.0968%
ONE Gas Inc,OGS,0.0968%
Kennametal Inc,KMT,0.0966%
Navient Corp,NAVI,0.0965%
Weingarten Realty Investors,WRI,0.0964%
Visteon Corp,VC,0.0964%
Healthcare Realty Trust Inc,HR,0.0964%
Centennial Resource Development Inc,CDEV,0.0962%
Yelp Inc,YELP,0.0956%
Legg Mason Inc,LM,0.0956%
Acadia Healthcare Company Inc,ACHC,0.0954%
Brinks Co,BCO,0.0953%
HealthEquity Inc,HQY,0.0948%
RLJ Lodging Trust,RLJ,0.0947%
MB Financial Inc,MBFI,0.0942%
Planet Fitness Inc,PLNT,0.094%
Hain Celestial Group Inc,HAIN,0.094%
Cable ONE Inc,CABO,0.0938%
Ligand Pharmaceuticals Inc,LGND,0.0938%
Sunstone Hotel Investors Inc,SHO,0.0937%
Ryman Hospitality Properties Inc,RHP,0.0936%
Colony NorthStar Inc,CLNS,0.0935%
New Relic Inc,NEWR,0.0934%
Peabody Energy Corp,BTU,0.0934%
Blackstone Mortgage Trust Inc,BXMT,0.0933%
Taubman Centers Inc,TCO,0.0931%
Avis Budget Group Inc,CAR,0.093%
BGC Partners Inc,BGCP,0.0929%
Trex Company Inc,TREX,0.0929%
Goodyear Tire & Rubber Co,GT,0.0929%
Aaron's Inc,AAN,0.0928%
UMB Financial Corp,UMBF,0.0926%
RealPage Inc,RP,0.0924%
Tribune Media Co,TRCO,0.0917%
South State Corp,SSB,0.0912%
Valmont Industries Inc,VMI,0.0909%
American Eagle Outfitters Inc,AEO,0.0909%
Spire Inc,SR,0.0909%
Energizer Holdings Inc,ENR,0.0905%
Chimera Investment Corp,CIM,0.0903%
Univar Inc,UNVR,0.0901%
Stamps.Com Inc,STMP,0.0899%
Ingevity Corp,NGVT,0.0896%
Timken Co,TKR,0.0894%
Cabot Corp,CBT,0.0893%
Dycom Industries Inc,DY,0.0893%
Regal Beloit Corp,RBC,0.0892%
Fulton Financial Corp,FULT,0.0889%
White Mountains Insurance Group Ltd,WTM,0.0889%
Proto Labs Inc,PRLB,0.0888%
Whiting Petroleum Corp,WLL,0.0885%
Rexnord Corp,RXN,0.0879%
Tech Data Corp,TECD,0.0879%
Wendys Co,WEN,0.0879%
Columbia Banking System Inc,COLB,0.0879%
KapStone Paper and Packaging Corp,KS,0.0878%
Neogen Corp,NEOG,0.0878%
Cathay General Bancorp,CATY,0.0876%
Barnes Group Inc,B,0.087%
BancorpSouth Bank,BXS,0.0867%
PotlatchDeltic Corp,PCH,0.0866%
Zynga Inc,ZNGA,0.0865%
Green Dot Corp,GDOT,0.0865%
New York Times Co,NYT,0.0864%
MasTec Inc,MTZ,0.0864%
FireEye Inc,FEYE,0.0862%
Southwest Gas Holdings Inc,SWX,0.0862%
Sabra Health Care REIT Inc,SBRA,0.0862%
Glacier Bancorp Inc,GBCI,0.0862%
Sensient Technologies Corp,SXT,0.0861%
MFA Financial Inc,MFA,0.086%
Zillow Group Inc,ZG,0.0858%
Performance Food Group Co,PFGC,0.0858%
Bruker Corp,BRKR,0.0855%
Allegheny Technologies Inc,ATI,0.0854%
Sprouts Farmers Market Inc,SFM,0.0853%
Ellie Mae Inc,ELLI,0.0852%
Federated Investors Inc,FII,0.0851%
Delek US Holdings Inc,DK,0.0851%
Healthcare Services Group Inc,HCSG,0.085%
John Wiley & Sons Inc,JW.A,0.0849%
PNM Resources Inc,PNM,0.0848%
Etsy Inc,ETSY,0.0848%
Erie Indemnity Co,ERIE,0.0847%
SiteOne Landscape Supply Inc,SITE,0.0846%
First Financial Bankshares Inc,FFIN,0.0844%
Amerco,UHAL,0.0842%
Ollie's Bargain Outlet Holdings Inc,OLLI,0.0839%
Washington Federal Inc,WAFD,0.0839%
Bed Bath & Beyond Inc,BBBY,0.0838%
Loxo Oncology Inc,LOXO,0.0832%
Syneos Health Inc,SYNH,0.083%
ACI Worldwide Inc,ACIW,0.0829%
USG Corp,USG,0.0826%
Paramount Group Inc,PGRE,0.0821%
Wesco International Inc,WCC,0.0819%
Science Applications International Corp,SAIC,0.0818%
Darling Ingredients Inc,DAR,0.0816%
Manhattan Associates Inc,MANH,0.0815%
Deckers Outdoor Corp,DECK,0.0815%
EnerSys,ENS,0.0814%
Marriott Vacations Worldwide Corp,VAC,0.0814%
AutoNation Inc,AN,0.081%
Nexstar Media Group Inc,NXST,0.0809%
Cabot Microelectronics Corp,CCMP,0.0808%
Graham Holdings Co,GHC,0.0807%
LaSalle Hotel Properties,LHO,0.0806%
Black Hills Corp,BKH,0.0806%
Terex Corp,TEX,0.0804%
AMN Healthcare Services Inc,AMN,0.0803%
MSA Safety Inc,MSA,0.0802%
Generac Holdings Inc,GNRC,0.0801%
Spirit Airlines Inc,SAVE,0.0797%
Choice Hotels International Inc,CHH,0.0797%
Applied Industrial Technologies Inc,AIT,0.0796%
TopBuild Corp,BLD,0.0795%
Brandywine Realty Trust,BDN,0.0793%
Tetra Tech Inc,TTEK,0.0793%
Flowserve Corp,FLS,0.0793%
Uniti Group Inc,UNIT,0.0792%
SkyWest Inc,SKYW,0.0791%
Belden Inc,BDC,0.0787%
RBC Bearings Inc,ROLL,0.0787%
LendingTree Inc,TREE,0.0786%
Welbilt Inc,WBT,0.0782%
Matador Resources Co,MTDR,0.0782%
Tenneco Inc,TEN,0.0779%
Clovis Oncology Inc,CLVS,0.0777%
Adtalem Global Education Inc,ATGE,0.0777%
Two Harbors Investment Corp,TWO,0.0775%
Eastgroup Properties Inc,EGP,0.0773%
Chesapeake Energy Corp,CHK,0.077%
Community Bank System Inc,CBU,0.077%
Shutterfly Inc,SFLY,0.0768%
Physicians Realty Trust,DOC,0.0767%
Domtar Corp,UFS,0.0766%
Taylor Morrison Home Corp,TMHC,0.0765%
MuleSoft Inc,MULE,0.0765%
Twilio Inc,TWLO,0.0763%
Seattle Genetics Inc,SGEN,0.0762%
Semtech Corp,SMTC,0.0762%
Oasis Petroleum Inc,OAS,0.076%
Amicus Therapeutics Inc,FOLD,0.0759%
Telephone and Data Systems Inc,TDS,0.0753%
GATX Corp,GATX,0.0752%
Southwestern Energy Co,SWN,0.0752%
Korn/Ferry International,KFY,0.0751%
Dick's Sporting Goods Inc,DKS,0.075%
Empire State Realty Trust Inc,ESRT,0.075%
RLI Corp,RLI,0.0749%
National Health Investors Inc,NHI,0.0749%
Balchem Corp,BCPC,0.0748%
Churchill Downs Inc,CHDN,0.0747%
OUTFRONT Media Inc,OUT,0.0745%
KB Home,KBH,0.0744%
Cirrus Logic Inc,CRUS,0.0744%
Evercore Inc,EVR,0.0744%
Blackhawk Network Holdings Inc,HAWK,0.0743%
ProAssurance Corp,PRA,0.0743%
NorthWestern Corp,NWE,0.0742%
Urban Outfitters Inc,URBN,0.0742%
Advanced Energy Industries Inc,AEIS,0.0741%
Wolverine World Wide Inc,WWW,0.0741%
Insperity Inc,NSP,0.0739%
Corporate Office Properties Trust,OFC,0.0738%
Aspen Insurance Holdings Ltd,AHL,0.0738%
NuVasive Inc,NUVA,0.0737%
Geo Group Inc,GEO,0.0735%
Old National Bancorp,ONB,0.0735%
American Equity Investment Life Holding Co,AEL,0.073%
Hillenbrand Inc,HI,0.073%
Stericycle Inc,SRCL,0.0729%
Edgewell Personal Care Co,EPC,0.0728%
Clean Harbors Inc,CLH,0.0728%
Armstrong World Industries Inc,AWI,0.0727%
Tenet Healthcare Corp,THC,0.0727%
Moog Inc,MOG.A,0.0725%
Retail Properties of America Inc,RPAI,0.0724%
Magellan Health Inc,MGLN,0.0723%
AMC Networks Inc,AMCX,0.0721%
Jack in the Box Inc,JACK,0.072%
Colfax Corp,CFX,0.0719%
InterDigital Inc,IDCC,0.0718%
TRI Pointe Group Inc,TPH,0.0715%
Sanderson Farms Inc,SAFM,0.0715%
First Midwest Bancorp Inc,FMBI,0.0715%
Boyd Gaming Corp,BYD,0.0714%
Maxar Technologies Ltd,MAXR,0.0711%
Lions Gate Entertainment Corp,LGF.B,0.0711%
Callon Petroleum Co,CPE,0.0706%
Tegna Inc,TGNA,0.0705%
II-VI Inc,IIVI,0.0703%
HB Fuller Co,FUL,0.0701%
Simpson Manufacturing Co Inc,SSD,0.07%
Verint Systems Inc,VRNT,0.07%
Vishay Intertechnology Inc,VSH,0.0699%
LCI Industries,LCII,0.0699%
Columbia Sportswear Co,COLM,0.0695%
Envestnet Inc,ENV,0.0695%
Box Inc,BOX,0.0694%
Lithia Motors Inc,LAD,0.0694%
Weatherford International PLC,WFT,0.069%
Qualys Inc,QLYS,0.0688%
Callidus Software Inc,CALD,0.0687%
Scientific Games Corp,SGMS,0.0686%
Columbia Property Trust Inc,CXP,0.0684%
Sinclair Broadcast Group Inc,SBGI,0.0684%
Minerals Technologies Inc,MTX,0.0682%
CVB Financial Corp,CVBF,0.068%
Itron Inc,ITRI,0.068%
Ultragenyx Pharmaceutical Inc,RARE,0.0679%
Signet Jewelers Ltd,SIG,0.0678%
Education Realty Trust Inc,EDR,0.0676%
United Community Banks Inc,UCBI,0.0675%
Simmons First National Corp,SFNC,0.0675%
First Citizens BancShares Inc,FCNCA,0.0674%
Great Western Bancorp Inc,GWB,0.0673%
TESARO Inc,TSRO,0.0669%
CoreCivic Inc,CXW,0.0669%
QEP Resources Inc,QEP,0.0667%
Murphy Usa Inc,MUSA,0.0665%
Acxiom Corp,ACXM,0.0661%
Mattel Inc,MAT,0.066%
Piedmont Office Realty Trust Inc,PDM,0.066%
Horizon Pharma PLC,HZNP,0.066%
Steven Madden Ltd,SHOO,0.0659%
Halozyme Therapeutics Inc,HALO,0.0659%
Commvault Systems Inc,CVLT,0.0658%
Hope Bancorp Inc,HOPE,0.0658%
UniFirst Corp,UNF,0.0655%
Lancaster Colony Corp,LANC,0.0655%
Commercial Metals Co,CMC,0.0655%
SRC Energy Inc,SRCI,0.0654%
Pebblebrook Hotel Trust,PEB,0.0653%
Brixmor Property Group Inc,BRX,0.0651%
ACADIA Pharmaceuticals Inc,ACAD,0.065%
STAG Industrial Inc,STAG,0.065%
Builders FirstSource Inc,BLDR,0.065%
CNX Resources Corp,CNX,0.0649%
KBR Inc,KBR,0.0649%
Kennedy-Wilson Holdings Inc,KW,0.0649%
BofI Holding Inc,BOFI,0.0645%
Emergent BioSolutions Inc,EBS,0.0645%
Nabors Industries Ltd,NBR,0.0644%
Sotheby's,BID,0.0644%
Allscripts Healthcare Solutions Inc,MDRX,0.0643%
Nevro Corp,NVRO,0.0643%
Avaya Holdings Corp,AVYA,0.0643%
Vonage Holdings Corp,VG,0.0643%
Rogers Corp,ROG,0.0641%
Global Blood Therapeutics Inc,GBT,0.064%
Onemain Holdings Inc,OMF,0.0639%
Apollo Commercial Real Estate Finance Inc,ARI,0.0638%
Puma Biotechnology Inc,PBYI,0.0638%
Childrens Place Inc,PLCE,0.0637%
BOK Financial Corp,BOKF,0.0636%
Viavi Solutions Inc,VIAV,0.0636%
Helen of Troy Ltd,HELE,0.0634%
Teladoc Inc,TDOC,0.0633%
Rexford Industrial Realty Inc,REXR,0.0632%
JELD-WEN Holding Inc,JELD,0.0632%
Supernus Pharmaceuticals Inc,SUPN,0.0628%
International Bancshares Corp,IBOC,0.0627%
Halyard Health Inc,HYH,0.0626%
Granite Construction Inc,GVA,0.0625%
Pure Storage Inc,PSTG,0.0624%
FCB Financial Holdings Inc,FCB,0.0621%
TripAdvisor Inc,TRIP,0.0621%
Cooper-Standard Holdings Inc,CPS,0.0621%
Esterline Technologies Corp,ESL,0.0621%
ABM Industries Inc,ABM,0.062%
Netscout Systems Inc,NTCT,0.0617%
Match Group Inc,MTCH,0.0617%
Ormat Technologies Inc,ORA,0.0616%
PriceSmart Inc,PSMT,0.0616%
