VV: Vanguard Large Cap ETF
Inception Date: 2004-01-27
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	11821171
Shares Outstanding: 97437000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Large Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VV


Holding,Symbol,Weighting
CenterPoint Energy Inc,CNP,0.05%
Liberty Interactive Corp,QRTEA,0.0499%
Raymond James Financial Inc,RJF,0.0499%
Nielsen Holdings PLC,NLSN,0.0499%
Ally Financial Inc,ALLY,0.0498%
Akamai Technologies Inc,AKAM,0.0496%
Tiffany & Co,TIF,0.0485%
Vornado Realty Trust,VNO,0.0483%
Varian Medical Systems Inc,VAR,0.0483%
Cincinnati Financial Corp,CINF,0.0482%
Carmax Inc,KMX,0.048%
Arch Capital Group Ltd,ACGL,0.0477%
Viacom Inc,VIAB,0.0477%
LKQ Corp,LKQ,0.0476%
Pentair plc,PNR,0.0476%
Cabot Oil & Gas Corp,COG,0.0475%
Kansas City Southern,KSU,0.0473%
Expeditors International of Washington Inc,EXPD,0.0472%
PVH Corp,PVH,0.0471%
Whirlpool Corp,WHR,0.0463%
Perrigo Company PLC,PRGO,0.046%
Unum Group,UNM,0.0459%
CA Inc,CA,0.0459%
Kohls Corp,KSS,0.0459%
HCP Inc,HCP,0.0458%
BorgWarner Inc,BWA,0.0458%
FMC Corp,FMC,0.0458%
Fidelity National Financial Inc,FNF,0.0456%
Cheniere Energy Inc,LNG,0.0455%
Wyndham Worldwide Corp,WYN,0.0454%
Darden Restaurants Inc,DRI,0.0454%
Cadence Design Systems Inc,CDNS,0.0453%
Hologic Inc,HOLX,0.0452%
Norwegian Cruise Line Holdings Ltd,NCLH,0.045%
Universal Health Services Inc,UHS,0.0449%
Zions Bancorp,ZION,0.0449%
Extra Space Storage Inc,EXR,0.0447%
International Flavors & Fragrances Inc,IFF,0.0447%
Verisign Inc,VRSN,0.0443%
Cooper Companies Inc,COO,0.0442%
Albemarle Corp,ALB,0.044%
SEI Investments Co,SEIC,0.044%
Bunge Ltd,BG,0.044%
Mid-America Apartment Communities Inc,MAA,0.0439%
Arconic Inc,ARNC,0.0437%
J B Hunt Transport Services Inc,JBHT,0.0437%
Gartner Inc,IT,0.0436%
Henry Schein Inc,HSIC,0.0435%
Alliance Data Systems Corp,ADS,0.0434%
Chipotle Mexican Grill Inc,CMG,0.0434%
Advanced Micro Devices Inc,AMD,0.043%
Affiliated Managers Group Inc,AMG,0.0426%
Hasbro Inc,HAS,0.0425%
Aramark,ARMK,0.0421%
Everest Re Group Ltd,RE,0.0419%
Reinsurance Group of America Inc,RGA,0.0412%
Qorvo Inc,QRVO,0.041%
